"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"77",319,"MSB","Fish specimens","MSB:Fish:20454",24,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.089293,-106.680842,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Avenue or US HWY 66 bridge, Albuquerque.",NA,"",1994,7,25,"Collector(s): Steven P. Platania, Nancy M. Johnston, Gregory M. Lein","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Nancy M. Johnston, Gregory M. Lein; WATER HAS RUNS, RIFFLES AND POOLS","2019-05-27 03:39:07.0","impact","1991-2000","impact_1991-2000",5
"491",303,"MSB","Fish specimens","MSB:Fish:19046",159,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"",1993,7,28,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:01:27.0","impact","1991-2000","impact_1991-2000",5
"121",351,"MSB","Fish specimens","MSB:Fish:30112",49,"Hybognathus amarus","Cyprinidae","whole organism (5% buffered formalin); egg",NA,35.004846,-106.683131,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 1.9 miles downstream of NM State HWY 500 or Rio Bravo Boulevard Bridge, just downstream of the South Diversion Canal outflow, in the South Valley, an unicorporated area of Albuquerque.",NA,".71 meters",1996,5,22,"Collector(s): W. H. Brandenburg","not recorded",NA,"PreservedSpecimen","Miscellaneous 1996 MSB Fish Collections; RIO GRANDE ""SPIKE"" DRIFT STUDY","2019-05-27 05:00:20.0","impact","1991-2000","impact_1991-2000",5
"1271",278,"MSB","Fish specimens","MSB:Fish:38826",38,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.027111,-106.672944,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,".4 meters",1997,3,5,"Collector(s): Robert K. Dudley, Christopher S. Altenbach, James P. Larson, M. G. Thomas","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Christopher S. Altenbach, James P. Larson, M. G. Thomas, ; CAMPOSTOMA TAKEN IN SAMPLE","2019-05-27 05:27:40.0","impact","1991-2000","impact_1991-2000",5
"711",274,"MSB","Fish specimens","MSB:Fish:19660",44,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"2 meters",1994,10,10,"Collector(s): Steven P. Platania, Christopher S. Altenbach, James P. Larson","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, James P. Larson","2019-05-27 03:23:18.0","impact","1991-2000","impact_1991-2000",5
"481",289,"MSB","Fish specimens","MSB:Fish:19242",59,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,".25 meters-2 meters",1993,10,12,"Collector(s): Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Gregory M. Lein, Peter T. Mulvaney","2019-05-27 03:23:13.0","impact","1991-2000","impact_1991-2000",5
"140",260,"MSB","Fish specimens","MSB:Fish:73766",17,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.027111,-106.672944,NA,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"1.5 meters",2009,10,2,"Collector(s): Robert K. Dudley, Michael A. Farrington, Mary A. Brandenburg","not recorded",NA,"PreservedSpecimen","ASIR Hybognathus amarus Growth and Aging Study; verbatim collectors: Robert K. Dudley, Michael A. Farrington, Mary A. Brandenburg","2019-05-27 04:51:19.0","impact","2001-2010","impact_2001-2010",5
"1411",275,"MSB","Fish specimens","MSB:Fish:77030",16,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.087092,-106.681989,90,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Ave. Bridge crossing (U.S. HWY 66), Albuquerque",NA,".2 meters-.9 meters",2010,4,14,"Collector(s): Adam Barkalow, Jennifer Hester, Mary A. Brandenburg","GeoLocate",NA,"PreservedSpecimen","ASIR Hybognathus amarus Growth and Aging Study; verbatim collectors: Adam L. Barkalow, Jennifer L. Hester, Mary A. Brandenburg","2019-05-27 05:43:10.0","impact","2001-2010","impact_2001-2010",5
"142",226,"MSB","Fish specimens","MSB:Fish:77021",11,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.088001,-106.680154,90,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Ave. bridge (US HWY 66), Albuquerque.",NA,"1 meter",2010,4,1,"Collector(s): Michael A. Farrington, W. H. Brandenburg, Mary A. Brandenburg","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Michael A. Farrington, W. Howard Brandenburg, Mary A. Brandenburg","2019-05-27 05:38:01.0","impact","2001-2010","impact_2001-2010",5
"83",427,"MSB","Fish specimens","MSB:Fish:679",120,"Pimephales promelas","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.37417,-106.49278,3036,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Algodones Riverside Drain, north of Bernalillo near Angostura.",NA,"",1942,2,28,"Collector(s): William J. Koster, Merle A. Gee","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Merle A. Gee","2019-05-26 21:51:39.0","control","1941-1950","control_1941-1950",5
"92",423,"MSB","Fish specimens","MSB:Fish:667",22,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380629,-106.503529,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 0.25 mile below Angostura Diversion Dam, Algodones.",NA,"",1947,10,25,"Collector(s): William J. Koster, G. Mertz","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, G. Mertz","2019-05-26 21:51:38.0","control","1941-1950","control_1941-1950",5
"144",559,"MSB","Fish specimens","MSB:Fish:706",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211994,-106.631125,658,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Drain on west of Rio Grande, 1.25 mile northwest of Alameda.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:44.0","control","1941-1950","control_1941-1950",5
"183",471,"MSB","Fish specimens","MSB:Fish:726",183,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.332004,-106.553224,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande 2 miles north of Bernalillo.",NA,"",1959,2,20,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:02:15.0","control","1951-1960","control_1951-1960",5
"292",567,"MSB","Fish specimens","MSB:Fish:5007",11,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.232431,-106.594272,2660,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Sandoval Lateral Site 1, somewhere between Skylark Lane and Romero Road, Corrales.",NA,"",1977,7,6,"Collector(s): Charles W. Painter, D. L. Chavez, D. Tague","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Tague","2019-05-27 02:54:38.0","control","1971-1980","control_1971-1980",5
"342",598,"MSB","Fish specimens","MSB:Fish:4429",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.239638,-106.587548,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 3.0 miles north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, D. L. Chavez, David W. Reducker","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. W. Reduker","2019-05-27 03:13:21.0","control","1971-1980","control_1971-1980",5
"442",500,"MSB","Fish specimens","MSB:Fish:7791",11,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1988,5,25,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:32:35.0","control","1981-1990","control_1981-1990",5
"561",495,"MSB","Fish specimens","MSB:Fish:7824",54,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1990,4,18,"Collector(s): Steven P. Platania, Douglas A. Young","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Douglas A. Young","2019-05-27 02:00:32.0","control","1981-1990","control_1981-1990",5
"551",413,"MSB","Fish specimens","MSB:Fish:9015",19,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:38:42.0","control","1981-1990","control_1981-1990",5
"531",493,"MSB","Fish specimens","MSB:Fish:9007",129,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28086111,-106.5988056,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Corrales Waterway Canal, ca. 0.7 mi. south of NM State Route 528/46 intersection, Corrales.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:34:29.0","control","1981-1990","control_1981-1990",5
"401",501,"MSB","Fish specimens","MSB:Fish:5806",19,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1987,9,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 04:46:03.0","control","1981-1990","control_1981-1990",5
"571",497,"MSB","Fish specimens","MSB:Fish:9023",13,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 03:04:21.0","control","1981-1990","control_1981-1990",5
"362",496,"MSB","Fish specimens","MSB:Fish:5250",49,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1986,7,13,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania; ALSO KRB-611.","2019-05-27 02:57:54.0","control","1981-1990","control_1981-1990",5
"371",454,"MSB","Fish specimens","MSB:Fish:5749",16,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.384415,-106.488818,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, just West of Algodones, near Algodones Power Station",NA,"",1986,10,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-Z; Storage: 50% ISOP, 76-Z; + 1 BULLFROG;","2019-05-27 02:24:59.0","control","1981-1990","control_1981-1990",5
"581",523,"MSB","Fish specimens","MSB:Fish:9040",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",1990,10,29,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:38:42.0","control","1981-1990","control_1981-1990",5
"541",407,"MSB","Fish specimens","MSB:Fish:7832",71,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1990,4,18,"Collector(s): Steven P. Platania, Douglas A. Young","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Douglas A. Young","2019-05-27 02:45:57.0","control","1981-1990","control_1981-1990",5
"2191",568,"MSB","Fish specimens","MSB:Fish:45431",15,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.283027,-106.598138,80,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Rio Rancho Wastewater Treatment Plant, ca. 6.3 kiilometers downstream of US HWY 550 bridge.",NA,"",2000,8,15,"Collector(s): W. H. Brandenburg, Michael A. Farrington","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: W. Howard Brandenburg, Michael A. Farrington","2019-05-27 05:18:14.0","control","1991-2000","control_1991-2000",5
"215",451,"MSB","Fish specimens","MSB:Fish:53468",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.283733,-106.598783,65,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Arroyo de la Barranca, near Rio Rancho Wastewater Treatment Plant, ca 6.3 kilometers downstream of US HWY 550 bridge.",NA,"",1999,5,27,"Collector(s): Thomas F. Turner, Megan V. McPhee, Moshe Kiflawi","not recorded",NA,"PreservedSpecimen","T.F. Turner Effective Genetic Population Size to Census Size in Rio Grande Fishes; verbatim collectors: Thomas F. Turner, Megan V. McPhee, Moshe Kiflawi; Very nice gravel run at this site.","2019-05-27 03:10:53.0","control","1991-2000","control_1991-2000",5
"94",419,"MSB","Fish specimens","MSB:Fish:11962",35,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.278488,-106.598357,500,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.5 kilometers downstream of the Rio Rancho Wastewater Treatment Plant, ca. 6.8 kilometeres downstream of US HWY 550 bridge.",NA,"",1992,9,24,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:24:12.0","control","1991-2000","control_1991-2000",5
"100",541,"MSB","Fish specimens","MSB:Fish:10815",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge crossing.",NA,"",1992,7,7,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-M4; Storage: 70% EtOH, 76-M4;","2019-05-27 02:48:50.0","control","1991-2000","control_1991-2000",5
"216",498,"MSB","Fish specimens","MSB:Fish:49972",26,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1999,10,27,"Collector(s): Thomas F. Turner, Megan V. McPhee, Dominique Alo","GeoLocate",NA,"PreservedSpecimen","T.F. Turner Effective Genetic Population Size to Census Size in Rio Grande Fishes; verbatim collectors: Thomas F. Turner, Megan V. McPhee, Dominique Alo","2019-05-27 03:11:14.0","control","1991-2000","control_1991-2000",5
"602",616,"MSB","Fish specimens","MSB:Fish:15563",145,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.377501,-106.524454,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Jemez River, from the Jemez Dam outfall to its confluence with the Rio Grande.",NA,"",1991,6,30,"Collector(s): Steven P. Platania, James N. Stuart, C. S. Clark","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, James N. Stuart, C. S. Clark","2019-05-27 02:14:15.0","control","1991-2000","control_1991-2000",5
"101",488,"MSB","Fish specimens","MSB:Fish:11175",12,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.328748,-106.554981,316,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 0.8 kilometers upstream of US HWY 550 bridge, Bernalillo.",NA,"",1992,7,23,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-M4; Storage: 70% EtOH, 76-M4;","2019-05-27 04:34:30.0","control","1991-2000","control_1991-2000",5
"99",416,"MSB","Fish specimens","MSB:Fish:11938",35,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1992,9,24,"Collector(s): Brian K. Lang","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:30.0","control","1991-2000","control_1991-2000",5
"135",415,"MSB","Fish specimens","MSB:Fish:19425",26,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales Siphon, at the Corrales-Rio Rancho municipal limit, Corrales.",NA,"",1993,7,27,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:16:54.0","control","1991-2000","control_1991-2000",5
"163",609,"MSB","Fish specimens","MSB:Fish:18625",62,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.39216667,-106.4783611,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 1.8 miles upstream of Angostura Diversion Dam, San Felipe Pueblo.",NA,"",1994,7,21,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","not recorded",NA,"PreservedSpecimen","MSB 1994 Survey of Pueblo Lands for Hybognathus amarus; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","2019-05-27 02:52:13.0","control","1991-2000","control_1991-2000",5
"222",556,"MSB","Fish specimens","MSB:Fish:73722",15,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380072,-106.499406,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",2002,9,16,"Collector(s): Thomas F. Turner","not recorded",NA,"PreservedSpecimen","UNM BIOL 487 Ichthyology 2002 Field Trips","2019-05-27 06:05:39.0","control","2001-2010","control_2001-2010",5
"112",599,"MSB","Fish specimens","MSB:Fish:630",27,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,12,2,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:02:14.0","impact","1931-1940","impact_1931-1940",5
"213",600,"MSB","Fish specimens","MSB:Fish:613",43,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:37:20.0","impact","1931-1940","impact_1931-1940",5
"310",601,"MSB","Fish specimens","MSB:Fish:622",50,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:37:26.0","impact","1931-1940","impact_1931-1940",5
"411",602,"MSB","Fish specimens","MSB:Fish:612",104,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,28,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:59.0","impact","1931-1940","impact_1931-1940",5
"511",603,"MSB","Fish specimens","MSB:Fish:658",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,30,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:46:41.0","impact","1931-1940","impact_1931-1940",5
"62",422,"MSB","Fish specimens","MSB:Fish:646",22,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197329,-106.642983,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at mouth of Conservancy ditch opposite Alameda.",NA,"",1939,6,13,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Lela R. Koster, P. Bretney","2019-05-26 21:07:34.0","impact","1931-1940","impact_1931-1940",5
"73",597,"MSB","Fish specimens","MSB:Fish:637",96,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0","impact","1941-1950","impact_1941-1950",5
"103",581,"MSB","Fish specimens","MSB:Fish:649",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.87537,-106.717837,650,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.6 kilometers downstream of NM HWY 147, Isleta.",NA,"",1949,10,29,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 21:56:44.0","impact","1941-1950","impact_1941-1950",5
"114",448,"MSB","Fish specimens","MSB:Fish:705",59,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929201,-106.681499,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Isleta railroad bridge.",NA,"",1949,10,21,"Collector(s): William J. Koster, Kenneth R. Coburn","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn","2019-05-26 22:12:13.0","impact","1941-1950","impact_1941-1950",5
"123",428,"MSB","Fish specimens","MSB:Fish:611",154,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.155761,-106.655157,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Griegos Drain, near head at Chavez Avenue, Los Ranchos de Albuquerque.",NA,"",1949,10,28,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:32:26.0","impact","1941-1950","impact_1941-1950",5
