"","X","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"120",311,"MSB","Fish specimens","MSB:Fish:49987",23,"Hybognathus amarus","Cyprinidae","whole organism (5% buffered formalin); egg",NA,35.004846,-106.683131,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 1.9 miles downstream of NM State HWY 500 or Rio Bravo Boulevard Bridge, just downstream of the South Diversion Canal outflow, in the South Valley, an unicorporated area of Albuquerque.",NA,".74 meters",1996,6,28,"Collector(s): W. H. Brandenburg","not recorded",NA,"PreservedSpecimen","Kind_Type: Vial Jar; Calcfld: 76-H16; Storage: 5% FORMALIN, 76-H16;","2019-05-27 03:27:04.0","impact","1991-2000","impact_1991-2000",5
"123",331,"MSB","Fish specimens","MSB:Fish:30075",16,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.13539167,-106.6684167,90,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Montano Bridge crossing on Montano Road, Albuquerque.",NA,"1.2 meters",1996,4,10,"Collector(s): Robert K. Dudley, Gregory M. Lein, Christopher S. Altenbach","GeoLocate",NA,"PreservedSpecimen","MSB 1995-96 Monitoring of Rio Grande, Montano Bridge Construction Area; verbatim collectors: Robert K. Dudley, Gregory M. Lein, Christopher S. Altenbach","2019-05-27 05:24:48.0","impact","1991-2000","impact_1991-2000",5
"451",271,"MSB","Fish specimens","MSB:Fish:18698",128,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.856849,-106.719963,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1993,7,13,"Collector(s): Brian K. Lang, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Brian K. Lang, Christopher S. Altenbach; 18 SEINE HAULS","2019-05-27 02:58:14.0","impact","1991-2000","impact_1991-2000",5
"65",341,"MSB","Fish specimens","MSB:Fish:18972",705,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.85683333,-106.7208056,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,"",1994,6,14,"Collector(s): Christopher S. Altenbach, Gregory M. Lein, Nancy M. Johnston","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Christopher S. Altenbach, Gregory M. Lein, Nancy M. Johnston; TEMPERATURE WAS 23 DEGREES IN BOSQUE POOLS.  WATER WAS SLIGHTLY TURBID.","2019-05-27 03:04:25.0","impact","1991-2000","impact_1991-2000",5
"471",330,"MSB","Fish specimens","MSB:Fish:18773",79,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.856849,-106.719963,NA,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, ca. 4.8 miles downstream of Isleta Diversion Dam, Isleta Pueblo.",NA,".25 meters-1.5 meters",1993,9,16,"Collector(s): Brian K. Lang, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Brian K. Lang, Steven P. Platania; 11 SEINE HAULS","2019-05-27 02:58:18.0","impact","1991-2000","impact_1991-2000",5
"1171",348,"MSB","Fish specimens","MSB:Fish:30246",75,"Hybognathus amarus","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.905272,-106.685564,120,"World Geodetic System 1984","United States","New Mexico","Valencia County",NA,NA,"Rio Grande, at the Isleta Diversion Dam, off NM State HWY 147, Isleta Pueblo.",NA,"1.5 meters",1996,5,15,"Collector(s): Steven P. Platania, Robert K. Dudley, W. H. Brandenburg","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, W. Howard Brandenburg; LITTLE FLOW ESCAPING FROM THE DIVERSION DAM BUT WETTED CHANNELS ON THE EAST AND WEST BANKS. NO FLOW THROUGH THE MIDDLE, AS ALL SEEPAGE MOVED EAST OR WEST TO THE PRINCIPLE CHANNELS.","2019-05-27 04:51:56.0","impact","1991-2000","impact_1991-2000",5
"140",260,"MSB","Fish specimens","MSB:Fish:73766",17,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.027111,-106.672944,NA,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at NM State HWY 500 or Rio Bravo Boulevard Bridge, in the South Valley, an unicorporated area of Albuquerque.",NA,"1.5 meters",2009,10,2,"Collector(s): Robert K. Dudley, Michael A. Farrington, Mary A. Brandenburg","not recorded",NA,"PreservedSpecimen","ASIR Hybognathus amarus Growth and Aging Study; verbatim collectors: Robert K. Dudley, Michael A. Farrington, Mary A. Brandenburg","2019-05-27 04:51:19.0","impact","2001-2010","impact_2001-2010",5
"141",275,"MSB","Fish specimens","MSB:Fish:77030",16,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.087092,-106.681989,90,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Ave. Bridge crossing (U.S. HWY 66), Albuquerque",NA,".2 meters-.9 meters",2010,4,14,"Collector(s): Adam Barkalow, Jennifer Hester, Mary A. Brandenburg","GeoLocate",NA,"PreservedSpecimen","ASIR Hybognathus amarus Growth and Aging Study; verbatim collectors: Adam L. Barkalow, Jennifer L. Hester, Mary A. Brandenburg","2019-05-27 05:43:10.0","impact","2001-2010","impact_2001-2010",5
"142",226,"MSB","Fish specimens","MSB:Fish:77021",11,"Hybognathus amarus","Cyprinidae","whole organism (95% ethanol)",NA,35.088001,-106.680154,90,"North American Datum 1927","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Central Ave. bridge (US HWY 66), Albuquerque.",NA,"1 meter",2010,4,1,"Collector(s): Michael A. Farrington, W. H. Brandenburg, Mary A. Brandenburg","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Michael A. Farrington, W. Howard Brandenburg, Mary A. Brandenburg","2019-05-27 05:38:01.0","impact","2001-2010","impact_2001-2010",5
"82",427,"MSB","Fish specimens","MSB:Fish:679",120,"Pimephales promelas","Cyprinidae","tissue (freeze-dried); whole organism (formalin-fixed, 70% ethanol)",NA,35.37417,-106.49278,3036,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Algodones Riverside Drain, north of Bernalillo near Angostura.",NA,"",1942,2,28,"Collector(s): William J. Koster, Merle A. Gee","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Merle A. Gee","2019-05-26 21:51:39.0","control","1941-1950","control_1941-1950",5
"93",423,"MSB","Fish specimens","MSB:Fish:667",22,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380629,-106.503529,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 0.25 mile below Angostura Diversion Dam, Algodones.",NA,"",1947,10,25,"Collector(s): William J. Koster, G. Mertz","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, G. Mertz","2019-05-26 21:51:38.0","control","1941-1950","control_1941-1950",5
"144",559,"MSB","Fish specimens","MSB:Fish:706",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211994,-106.631125,658,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Drain on west of Rio Grande, 1.25 mile northwest of Alameda.",NA,"",1949,11,5,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:51:44.0","control","1941-1950","control_1941-1950",5
"183",471,"MSB","Fish specimens","MSB:Fish:726",183,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.332004,-106.553224,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande 2 miles north of Bernalillo.",NA,"",1959,2,20,"Collector(s): William J. Koster","not recorded",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:02:15.0","control","1951-1960","control_1951-1960",5
"292",567,"MSB","Fish specimens","MSB:Fish:5007",11,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.232431,-106.594272,2660,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Sandoval Lateral Site 1, somewhere between Skylark Lane and Romero Road, Corrales.",NA,"",1977,7,6,"Collector(s): Charles W. Painter, D. L. Chavez, D. Tague","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. Tague","2019-05-27 02:54:38.0","control","1971-1980","control_1971-1980",5
"342",598,"MSB","Fish specimens","MSB:Fish:4429",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.239638,-106.587548,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, 3.0 miles north of Alameda Boulevard or NM State HWY 528 bridge, Albuquerque.",NA,"",1978,9,8,"Collector(s): Charles W. Painter, D. L. Chavez, David W. Reducker","not recorded",NA,"PreservedSpecimen","verbatim collectors: Charles W. Painter, D. L. Chavez, D. W. Reduker","2019-05-27 03:13:21.0","control","1971-1980","control_1971-1980",5
"441",500,"MSB","Fish specimens","MSB:Fish:7791",11,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1988,5,25,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 03:32:35.0","control","1981-1990","control_1981-1990",5
"57",497,"MSB","Fish specimens","MSB:Fish:9023",13,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 03:04:21.0","control","1981-1990","control_1981-1990",5
"56",495,"MSB","Fish specimens","MSB:Fish:7824",54,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1990,4,18,"Collector(s): Steven P. Platania, Douglas A. Young","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Douglas A. Young","2019-05-27 02:00:32.0","control","1981-1990","control_1981-1990",5
"372",454,"MSB","Fish specimens","MSB:Fish:5749",16,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.384415,-106.488818,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, just West of Algodones, near Algodones Power Station",NA,"",1986,10,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Kind_Type: VIAL JAR; Calcfld: 76-Z; Storage: 50% ISOP, 76-Z; + 1 BULLFROG;","2019-05-27 02:24:59.0","control","1981-1990","control_1981-1990",5
"531",493,"MSB","Fish specimens","MSB:Fish:9007",129,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28086111,-106.5988056,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Corrales Waterway Canal, ca. 0.7 mi. south of NM State Route 528/46 intersection, Corrales.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:34:29.0","control","1981-1990","control_1981-1990",5
"541",407,"MSB","Fish specimens","MSB:Fish:7832",71,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1990,4,18,"Collector(s): Steven P. Platania, Douglas A. Young","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Douglas A. Young","2019-05-27 02:45:57.0","control","1981-1990","control_1981-1990",5
"401",501,"MSB","Fish specimens","MSB:Fish:5806",19,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at US HWY 550 bridge, Bernalillo.",NA,"",1987,9,9,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania","2019-05-27 04:46:03.0","control","1981-1990","control_1981-1990",5
"551",413,"MSB","Fish specimens","MSB:Fish:9015",19,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1990,10,28,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:38:42.0","control","1981-1990","control_1981-1990",5
"581",523,"MSB","Fish specimens","MSB:Fish:9040",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",1990,10,29,"Collector(s): Steven P. Platania, Brooks M. Burr","not recorded",NA,"PreservedSpecimen","verbatim collectors: Steven P. Platania, Brooks M. Burr","2019-05-27 04:38:42.0","control","1981-1990","control_1981-1990",5
"362",496,"MSB","Fish specimens","MSB:Fish:5250",49,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 55% isopropanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1986,7,13,"Collector(s): Kevin R. Bestgen, Steven P. Platania","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Kevin R. Bestgen, Steven P. Platania; ALSO KRB-611.","2019-05-27 02:57:54.0","control","1981-1990","control_1981-1990",5
"1341",400,"MSB","Fish specimens","MSB:Fish:13397",28,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales Waterway Canal, Corrales.",NA,"",1993,4,13,"Collector(s): Brian K. Lang, David H. Diffendorfer","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Brian K. Lang, David H. Diffendorfer; WATER HAS HIGH FLOWS AND WAS MODERATELY TURBID","2019-05-27 03:53:11.0","control","1991-2000","control_1991-2000",5
"1371",530,"MSB","Fish specimens","MSB:Fish:18794",35,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.280904,-106.597587,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at the Corrales siphon, at the Corrales-Rio Rancho municipal limits, Corrales.",NA,"",1993,8,12,"Collector(s): Christopher S. Altenbach, Steven P. Platania","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Christopher S. Altenbach, Steven P. Platania; 19 SEINE HAULS, 9 LARVAL HAULS","2019-05-27 02:58:19.0","control","1991-2000","control_1991-2000",5
"158",412,"MSB","Fish specimens","MSB:Fish:20536",15,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,7,25,"Collector(s): Steven P. Platania, Nancy M. Johnston, Gregory M. Lein","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Nancy M. Johnston, Gregory M. Lein; WATER HAD RUNS, POOLS","2019-05-27 03:36:01.0","control","1991-2000","control_1991-2000",5
"198",520,"MSB","Fish specimens","MSB:Fish:30768",48,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38033333,-106.4990556,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,".5 meters",1996,10,30,"Collector(s): Robert K. Dudley, Christopher S. Altenbach, James P. Larson","not recorded",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Robert K. Dudley, Christopher S. Altenbach, James P. Larson","2019-05-27 02:17:52.0","control","1991-2000","control_1991-2000",5
"156",410,"MSB","Fish specimens","MSB:Fish:19005",28,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.28302778,-106.5981389,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, ca. 4.0 miles downstream of US HWY 550 bridge, at Rio Rancho Wastewater Treatment Plant.",NA,"",1994,6,28,"Collector(s): Steven P. Platania, Christopher S. Altenbach","not recorded",NA,"PreservedSpecimen","Hybognathus amarus Life History Study; verbatim collectors: Steven P. Platania, Christopher S. Altenbach; WATER WAS RELATIVELY CLEAR.","2019-05-27 03:26:18.0","control","1991-2000","control_1991-2000",5
"162",579,"MSB","Fish specimens","MSB:Fish:18637",25,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.38463889,-106.4871944,NA,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at southern boundary of the San Felipe Pueblo.",NA,"",1994,7,21,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","not recorded",NA,"PreservedSpecimen","MSB 1994 Survey of Pueblo Lands for Hybognathus amarus; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Nancy M. Johnston","2019-05-27 02:55:09.0","control","1991-2000","control_1991-2000",5
"194",385,"MSB","Fish specimens","MSB:Fish:30672",65,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.283027,-106.598138,80,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at Rio Rancho Wastewater Treatment Plant, ca. 6.3 kiilometers downstream of US HWY 550 bridge.",NA,"1.5 meters",1996,10,16,"Collector(s): Steven P. Platania, Robert K. Dudley, James P. Larson","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Robert K. Dudley, James P. Larson","2019-05-27 05:08:45.0","control","1991-2000","control_1991-2000",5
"92",442,"MSB","Fish specimens","MSB:Fish:12015",12,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.211277,-106.611666,210,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"North Diversion Canal, at confluence with Rio Grande, ca. 3.3 kilometers upstream of Alameda Boulevard or NM State HWY 528 bridge, Sandia Pueblo, Albuquerque.",NA,"",1992,9,28,"Collector(s): Brian K. Lang","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-27 02:27:30.0","control","1991-2000","control_1991-2000",5
"196",456,"MSB","Fish specimens","MSB:Fish:30347",20,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"1.5 meters",1996,6,27,"Collector(s): Steven P. Platania, Christopher S. Altenbach, Robert K. Dudley","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Steven P. Platania, Christopher S. Altenbach, Robert K. Dudley; RAINS LAST NIGHT HAVE MADE THE WATER  VERY SILTY, REDUCING VISIBILITY TO 0 CM.","2019-05-27 05:00:20.0","control","1991-2000","control_1991-2000",5
"1421",542,"MSB","Fish specimens","MSB:Fish:19016",16,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.322164,-106.557448,90,"World Geodetic System 1984","United States","New Mexico","Sandoval County",NA,NA,"Rio Grande, at NM State HWY 44 bridge, Bernalillo.",NA,"",1993,7,27,"Collector(s): Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","GeoLocate",NA,"PreservedSpecimen","Rio Grande Silvery Minnow Population Monitoring Project; verbatim collectors: Brian K. Lang, Christopher S. Altenbach, B. J. Hudenko","2019-05-27 03:29:28.0","control","1991-2000","control_1991-2000",5
"222",556,"MSB","Fish specimens","MSB:Fish:73722",15,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.380072,-106.499406,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Angostura Diversion Dam, Algodones.",NA,"",2002,9,16,"Collector(s): Thomas F. Turner","not recorded",NA,"PreservedSpecimen","UNM BIOL 487 Ichthyology 2002 Field Trips","2019-05-27 06:05:39.0","control","2001-2010","control_2001-2010",5
"110",599,"MSB","Fish specimens","MSB:Fish:630",27,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,12,2,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:02:14.0","impact","1931-1940","impact_1931-1940",5
"210",600,"MSB","Fish specimens","MSB:Fish:613",43,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1938,10,19,"Collector(s): William J. Koster","GeoLocate",NA,"PreservedSpecimen","Storage: 70% EtOH","2019-05-26 21:37:20.0","impact","1931-1940","impact_1931-1940",5
"312",601,"MSB","Fish specimens","MSB:Fish:622",50,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,2,26,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:37:26.0","impact","1931-1940","impact_1931-1940",5
"411",602,"MSB","Fish specimens","MSB:Fish:612",104,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,28,"Collector(s): William J. Koster, R. Troxel","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, R. Troxel","2019-05-26 21:41:59.0","impact","1931-1940","impact_1931-1940",5
"510",603,"MSB","Fish specimens","MSB:Fish:658",17,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.100259,-106.692107,650,"North American Datum 1983","United States","New Mexico","Bernalillo County",NA,NA,"Palmer's Slough, east of Rio Grande Albuquerque NW Section, an area of remanant bosque and wetlands.",NA,"",1939,1,30,"Collector(s): Robert Troxel, R. T. Fincke","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: Robert Troxel, R. Fincke","2019-05-26 21:46:41.0","impact","1931-1940","impact_1931-1940",5
"67",422,"MSB","Fish specimens","MSB:Fish:646",22,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.197329,-106.642983,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at mouth of Conservancy ditch opposite Alameda.",NA,"",1939,6,13,"Collector(s): William J. Koster, Lela R. Koster, P. Bretney","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Lela R. Koster, P. Bretney","2019-05-26 21:07:34.0","impact","1931-1940","impact_1931-1940",5
"73",597,"MSB","Fish specimens","MSB:Fish:637",96,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,35.096748,-106.692027,776,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, below a diversion dam, Albuquerque.",NA,"",1941,9,14,"Collector(s): William J. Koster, Frederick W. Worman, Earl Camp","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Frederick W. Worman, Earl Camp","2019-05-26 22:01:55.0","impact","1941-1950","impact_1941-1950",5
"103",581,"MSB","Fish specimens","MSB:Fish:649",10,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.87537,-106.717837,650,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, ca. 4.6 kilometers downstream of NM HWY 147, Isleta.",NA,"",1949,10,29,"Collector(s): William J. Koster, Kenneth R. Coburn, G. Atkinson","GeoLocate",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn, G. Atkinson","2019-05-26 21:56:44.0","impact","1941-1950","impact_1941-1950",5
"111",448,"MSB","Fish specimens","MSB:Fish:705",59,"Pimephales promelas","Cyprinidae","whole organism (formalin-fixed, 70% ethanol)",NA,34.929201,-106.681499,NA,"World Geodetic System 1984","United States","New Mexico","Bernalillo County",NA,NA,"Rio Grande, at Isleta railroad bridge.",NA,"",1949,10,21,"Collector(s): William J. Koster, Kenneth R. Coburn","not recorded",NA,"PreservedSpecimen","verbatim collectors: William J. Koster, Kenneth R. Coburn","2019-05-26 22:12:13.0","impact","1941-1950","impact_1941-1950",5
